benchmark,map_area,map_delay,map_status,map_j_k_24_area,map_j_k_24_delay,map_j_k_24_status,area_diff,area_diff_pct,delay_diff,delay_diff_pct
adder,4448.81,128.00,ok,4317.32,128.00,ok,-131.49,-2.96,0.00,0.00
arbiter,33739.10,44.00,ok,33739.10,44.00,ok,0.00,0.00,0.00,0.00
bar,14942.94,5.00,ok,14942.94,5.00,ok,0.00,0.00,0.00,0.00
cavlc,2101.51,8.00,ok,2100.21,8.00,ok,-1.30,-0.06,0.00,0.00
ctrl,466.47,5.00,ok,463.96,5.00,ok,-2.51,-0.54,0.00,0.00
dec,1272.82,2.00,ok,1272.82,2.00,ok,0.00,0.00,0.00,0.00
div,221079.84,2172.00,ok,NA,NA,exit_124,NA,NA,NA,NA
hyp,796620.02,8501.00,ok,NA,NA,exit_124,NA,NA,NA,NA
i2c,4235.72,9.00,ok,4245.69,9.00,ok,9.97,0.24,0.00,0.00
int2float,715.43,8.00,ok,720.39,8.00,ok,4.96,0.69,0.00,0.00
log2,94947.43,166.00,ok,NA,NA,exit_124,NA,NA,NA,NA
max,10051.50,109.00,ok,10051.50,109.00,ok,0.00,0.00,0.00,0.00
mem_ctrl,142974.90,51.00,ok,NA,NA,exit_124,NA,NA,NA,NA
multiplier,79267.69,129.00,ok,NA,NA,exit_124,NA,NA,NA,NA
priority,3721.64,125.00,ok,3699.18,125.00,ok,-22.46,-0.60,0.00,0.00
router,982.10,18.00,ok,958.35,18.00,ok,-23.75,-2.42,0.00,0.00
sin,18931.02,82.00,ok,18929.73,82.00,ok,-1.29,-0.01,0.00,0.00
sqrt,93868.04,2078.00,ok,NA,NA,exit_124,NA,NA,NA,NA
square,65259.95,124.00,ok,NA,NA,exit_124,NA,NA,NA,NA
voter,56500.05,31.00,ok,56498.79,31.00,ok,-1.26,-0.00,0.00,0.00
