benchmark,map_area,map_delay,map_status,map_j_p_area,map_j_p_delay,map_j_p_status,area_diff,area_diff_pct,delay_diff,delay_diff_pct
adder,4448.81,128.00,ok,4359.88,128.00,ok,-88.93,-2.00,0.00,0.00
arbiter,33739.10,44.00,ok,33698.94,44.00,ok,-40.16,-0.12,0.00,0.00
bar,14942.94,5.00,ok,14942.94,5.00,ok,0.00,0.00,0.00,0.00
cavlc,2101.51,8.00,ok,2101.51,8.00,ok,0.00,0.00,0.00,0.00
ctrl,466.47,5.00,ok,463.97,5.00,ok,-2.50,-0.54,0.00,0.00
dec,1272.82,2.00,ok,1272.82,2.00,ok,0.00,0.00,0.00,0.00
div,221079.84,2172.00,ok,NA,NA,exit_124,NA,NA,NA,NA
hyp,796620.02,8501.00,ok,NA,NA,exit_124,NA,NA,NA,NA
i2c,4235.72,9.00,ok,4229.48,9.00,ok,-6.24,-0.15,0.00,0.00
int2float,715.43,8.00,ok,710.44,8.00,ok,-4.99,-0.70,0.00,0.00
log2,94947.43,166.00,ok,NA,NA,exit_124,NA,NA,NA,NA
max,10051.50,109.00,ok,10051.50,109.00,ok,0.00,0.00,0.00,0.00
mem_ctrl,142974.90,51.00,ok,NA,NA,exit_124,NA,NA,NA,NA
multiplier,79267.69,129.00,ok,79286.44,129.00,ok,18.75,0.02,0.00,0.00
priority,3721.64,125.00,ok,3315.92,125.00,ok,-405.72,-10.90,0.00,0.00
router,982.10,18.00,ok,975.86,18.00,ok,-6.24,-0.64,0.00,0.00
sin,18931.02,82.00,ok,18933.50,82.00,ok,2.48,0.01,0.00,0.00
sqrt,93868.04,2078.00,ok,NA,NA,exit_124,NA,NA,NA,NA
square,65259.95,124.00,ok,65258.70,124.00,ok,-1.25,-0.00,0.00,0.00
voter,56500.05,31.00,ok,55913.22,31.00,ok,-586.83,-1.04,0.00,0.00
