benchmark,map_area,map_delay,map_status,map_jk30_area,map_jk30_delay,map_jk30_status,area_diff,area_diff_pct,delay_diff,delay_diff_pct
adder,867.43,1006.42,ok,855.06,1006.42,ok,-12.37,-1.43,0.00,0.00
arbiter,1299.64,347.26,ok,1299.64,347.26,ok,0.00,0.00,0.00,0.00
bar,2077.62,75.37,ok,2077.62,75.37,ok,0.00,0.00,0.00,0.00
cavlc,220.25,76.18,ok,222.82,76.18,ok,2.57,1.17,0.00,0.00
ctrl,64.41,40.44,ok,64.41,40.44,ok,0.00,0.00,0.00,0.00
dec,289.42,26.28,ok,289.42,26.28,ok,0.00,0.00,0.00,0.00
div,12923.41,17252.03,ok,NA,NA,exit_137,NA,NA,NA,NA
hyp,176053.57,89237.98,ok,NA,NA,exit_137,NA,NA,NA,NA
i2c,600.31,82.02,ok,600.53,82.02,ok,0.22,0.04,0.00,0.00
int2float,97.05,72.08,ok,95.40,72.08,ok,-1.65,-1.70,0.00,0.00
log2,20082.39,1698.38,ok,NA,NA,exit_137,NA,NA,NA,NA
max,1382.52,1076.64,ok,1384.62,1076.64,ok,2.10,0.15,0.00,0.00
mem_ctrl,13319.82,439.94,ok,NA,NA,exit_137,NA,NA,NA,NA
multiplier,20111.55,1098.14,ok,NA,NA,exit_137,NA,NA,NA,NA
priority,432.44,970.99,ok,432.90,970.99,ok,0.46,0.11,0.00,0.00
router,238.67,182.56,ok,237.73,182.56,ok,-0.94,-0.39,0.00,0.00
sin,4126.80,841.47,ok,4132.70,841.47,ok,5.90,0.14,0.00,0.00
sqrt,12260.36,21604.59,ok,NA,NA,exit_137,NA,NA,NA,NA
square,11254.01,984.82,ok,NA,NA,exit_137,NA,NA,NA,NA
voter,17878.86,339.99,ok,NA,NA,timeout_124,NA,NA,NA,NA
